Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
CON,Dumfries and Galloway,SNP,0.09,0.25,0.27,0.05,0.05,0.01,-,0.29,-,"78,541",58.30%
CON,"Dumfriesshire, Clydesdale and Tweeddale",CON,0.07,0.28,0.27,0.07,0.06,0.01,-,0.25,-,"71,900",61.50%
SNP,Dundee Central,SNP,0.16,0.04,0.18,0.05,0.08,0.02,0.04,0.43,-,"74,221",52.30%
LAB,Dunfermline and Dollar,SNP,0.24,0.06,0.23,0.07,0.1,0.01,0.01,0.28,-,"72,824",61.20%
LAB,Dunstable and Leighton Buzzard,RFM,0.16,0.23,0.36,0.15,0.1,0,-,-,-,"76,742",60.00%
PLC,Dwyfor Meirionnydd,PLC,0.03,0.06,0.18,0.04,0.07,0.01,-,-,0.6,"73,040",55.30%
LAB,Ealing Central and Acton,LAB,0.29,0.12,0.16,0.15,0.23,0.03,0.01,-,-,"78,436",60.90%
LAB,Ealing North,LAB,0.29,0.13,0.22,0.08,0.2,0.06,0.01,-,-,"74,820",57.80%
LAB,Ealing Southall,LAB,0.33,0.11,0.15,0.08,0.21,0.07,0.05,-,-,"78,669",59.50%
LAB,Earley and Woodley,CON,0.22,0.27,0.21,0.14,0.16,0.01,-,-,-,"73,548",62.40%
LAB,Easington,RFM,0.29,0.06,0.48,0.05,0.07,0.04,-,-,-,"69,395",49.50%
CON,East Grinstead and Uckfield,CON,0.09,0.27,0.2,0.2,0.21,0.03,0.01,-,-,"75,385",66.80%
LAB,East Ham,LAB,0.34,0.08,0.11,0.05,0.25,0.15,0.02,-,-,"79,219",47.80%
CON,East Hampshire,LDM,0.05,0.28,0.25,0.32,0.09,0.01,0,-,-,"70,659",70.80%
LAB,East Kilbride and Strathaven,SNP,0.25,0.06,0.24,0.04,0.09,0.01,0,0.3,-,"76,414",61.10%
LAB,East Renfrewshire,SNP,0.24,0.14,0.19,0.03,0.08,0.01,0.02,0.29,-,"74,626",67.30%
CON,East Surrey,RFM,0.09,0.27,0.32,0.18,0.12,0.02,0.01,-,-,"73,307",67.10%
LAB,East Thanet,RFM,0.21,0.16,0.38,0.05,0.19,0.01,0.01,-,-,"74,927",57.00%
CON,East Wiltshire,RFM,0.14,0.28,0.34,0.16,0.08,0.01,-,-,-,"74,139",63.70%
LAB,East Worthing and Shoreham,RFM,0.27,0.18,0.31,0.08,0.14,0.01,0.01,-,-,"74,738",65.70%
LDM,Eastbourne,LDM,0.04,0.17,0.26,0.48,0.05,0,-,-,-,"72,590",62.80%
LDM,Eastleigh,LDM,0.07,0.22,0.26,0.33,0.11,0.01,-,-,-,"69,965",66.30%
